№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение) 2017,Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW,SNP ID
347,2017-05-02,7,30,48,18,39,69,79,10,2,3,3,5,3,3,9,5,1,5,2,2,50.0,60.0,55.0,60.0,56.0,12.0,19.0,29.0,31.0,29.0,61.5,102.2,29.7,55.1,79.6,17.4,35.4,4.7,22.9,33.9,117.0,146.0,57.0,68.0,111.0,152.0,115.0,65.0,63.0,102.0,22.0,28.6,16.5,17.0,26.1,7,25.0,24.0,25.0,25.0,22.0,11.0,10.0,11.0,13.0,10.0,3,11,230.0,VT0005_0347
351,2017-05-02,7,40,60,20,34,74,90,16,2,3,3,5,3,5,9,5,1,5,2,2,65.0,50.0,56.0,56.0,51.0,20.0,19.0,21.0,14.0,21.0,54.7,41.7,119.4,159.6,64.0,44.2,10.4,31.9,68.0,16.6,81.0,78.0,236.0,224.0,132.0,71.0,75.0,197.0,173.0,116.0,9.5,14.8,37.6,38.1,26.3,7,27.0,27.0,25.0,26.0,25.0,15.0,12.0,13.0,13.0,11.0,5,11,240.0,VT0010_0351
353,2017-05-02,9,35,56,21,34,69,78,9,2,5,1,5,7,3,9,5,1,7,1,1,56.0,51.0,49.0,50.0,50.0,17.0,26.0,20.0,13.0,17.0,80.3,30.5,56.4,71.2,52.7,18.9,8.3,22.0,30.3,24.6,112.0,46.0,86.0,108.0,67.0,177.0,67.0,113.0,141.0,85.0,44.4,14.9,22.7,29.2,18.5,7,25.0,24.0,22.0,20.0,23.0,11.0,10.0,12.0,10.0,10.0,3,11,285.0,VT0012_0353
354,2017-05-02,9,35,55,20,34,69,88,19,3,5,3,5,7,3,9,5,1,5,1,1,45.0,50.0,53.0,52.0,50.0,13.0,12.0,25.0,21.0,21.0,41.8,75.5,21.2,40.2,42.7,8.5,29.5,8.4,8.9,10.6,88.0,137.0,29.0,96.0,81.0,126.0,144.0,53.0,126.0,121.0,23.2,27.1,9.5,21.7,23.4,7,20.0,20.0,21.0,20.0,20.0,10.0,11.0,10.0,9.0,10.0,3,10,200.0,VT0013_0354
362,2017-05-02,7,33,51,18,36,69,77,8,1,3,5,7,3,3,7,5,1,5,2,2,60.0,52.0,55.0,62.0,56.0,21.0,15.0,22.0,29.0,22.0,67.2,85.5,53.1,72.7,64.3,15.5,40.2,15.0,19.3,20.0,90.0,68.0,68.0,100.0,68.0,88.0,75.0,69.0,110.0,82.0,27.4,22.6,21.4,33.6,25.5,5,29.0,27.0,31.0,30.0,28.0,13.0,13.0,14.0,14.0,13.0,3,1,360.0,VT0019_0362
364,2017-05-02,7,35,52,17,34,69,78,9,2,3,3,5,3,5,7,5,1,5,1,2,58.0,53.0,45.0,42.0,50.0,25.0,12.0,14.0,21.0,23.0,72.1,107.7,36.9,53.4,49.4,16.8,39.5,16.3,18.4,12.1,147.0,152.0,56.0,83.0,93.0,200.0,225.0,66.0,124.0,126.0,40.0,44.1,13.4,25.2,24.1,7,25.0,25.0,24.0,24.0,25.0,11.0,12.0,11.0,10.0,11.0,3,11,215.0,VT0020_0364
590,2017-05-02,7,42,55,13,31,73,87,14,1,3,3,7,3,1,9,5,1,5,1,2,65.0,60.0,60.0,58.0,60.0,25.0,18.0,20.0,14.0,17.0,110.7,53.5,131.8,162.1,308.2,47.7,19.7,51.5,72.3,136.5,107.0,72.0,112.0,147.0,273.0,107.0,75.0,150.0,154.0,274.0,33.6,20.5,44.2,53.7,90.4,5,29.0,25.0,30.0,27.0,27.0,12.0,12.0,14.0,12.0,10.0,3,1,415.0,VT0022_0590
599,2017-05-02,7,31,47,16,39,70,77,7,1,3,1,7,3,5,9,7,1,7,2,2,70.0,60.0,63.0,62.0,60.0,27.0,32.0,27.0,33.0,30.0,24.4,26.1,43.0,44.2,38.4,10.5,6.8,13.5,10.8,14.9,45.0,32.0,50.0,57.0,45.0,61.0,38.0,59.0,71.0,45.0,15.8,11.1,18.3,20.9,14.5,5,30.0,30.0,29.0,30.0,25.0,15.0,14.0,14.0,13.0,12.0,5,1,300.0,VT0028_0599
611,2017-05-02,7,36,53,17,34,70,76,6,2,3,1,3,3,5,7,7,1,7,2,2,55.0,60.0,43.0,55.0,50.0,22.0,24.0,23.0,23.0,24.0,56.3,29.4,29.9,50.1,38.5,21.2,6.5,11.7,14.5,7.5,73.0,56.0,38.0,72.0,75.0,111.0,102.0,54.0,103.0,105.0,25.4,19.6,11.1,23.0,19.7,7,22.0,24.0,21.0,24.0,21.0,10.0,12.0,9.0,11.0,10.0,3,11,255.0,VT0038_0611
793,2017-05-02,7,40,55,15,33,73,92,19,3,3,5,5,3,3,7,7,7,7,1,2,50.0,55.0,52.0,40.0,52.0,21.0,25.0,25.0,23.0,29.0,33.8,46.7,33.7,27.3,20.0,13.2,17.3,8.0,12.6,8.6,52.0,68.0,79.0,49.0,29.0,67.0,79.0,110.0,71.0,39.0,12.8,17.1,22.0,11.4,8.2,7,24.0,24.0,27.0,24.0,23.0,9.0,10.0,11.0,11.0,10.0,3,11,200.0,VT0039_0793
